,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47
32,32,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.1504794701855685,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
33,33,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127366436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
34,34,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.559314456579922,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
35,35,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650355815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
36,36,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389718139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
37,37,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873404512043,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
38,38,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217973272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
39,39,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200344471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
40,40,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311644780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
41,41,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105265445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
42,42,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770949040866,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
43,43,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226766960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
44,44,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252780913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
45,45,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331236101951,3.117460450397862,1.4847350569949678,5.384262747731929
46,46,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460460397862,1.4847350569949678,5.384262747731929
47,47,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350669949677,5.384262747731929
48,48,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262757731929
