,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55
20,20,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948550458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
21,21,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075117896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
22,22,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757779799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
23,23,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476980476905,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
24,24,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599688929348,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
25,25,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926740579416,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
26,26,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203405285387,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
27,27,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930412894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
28,28,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516859657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
29,29,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242113035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
30,30,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783363169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
31,31,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859148536946,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
32,32,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536339588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
33,33,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006418265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
34,34,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439805972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
35,35,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840514063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
36,36,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333030288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
37,37,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590616907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
38,38,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955950204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
39,39,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283664041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
40,40,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424217536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
41,41,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123682657017,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
42,42,0.23343122388336168,5.656818195192812,5.914640497340902,6.2334731246844335,5.236597104081881,5.942001934082525,0.033842373874426394,3.849357617473569,0.09648653353771061,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400933200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
